POI ID,POI NAME,Address 1,Address 2,CITY,STATE,Address Zip,Phone,Country,Lat,Lon
1,Chhatrapati Shivaji International Airport,"Terminal 18, Apron Control,Santacruz-E, Santacruz East",,Mumbai,Maharashtra,400098,,India,,
2,Amritsar Intl Airport,"Rajasansi, Amritsar Gpo",,Amritsar,Punjab,143001,,India,,
3,Indira Gandhi International Airport,"Room No 17, Indira Gandhi Intl Airport Terminal -2,, Kapeshera, Kapashera",,Delhi,New Delhi ,110037,,India,,
4,Sardar Vallabhbhai Patel International Airport ,"SVP International Airport, Airport",,Ahmedabad,Gujarat,380012,,India,,
5,Netaji Subhash Chandra Bose International Airport,Kolkata Airport,,Kolkata,West Bengal,700052,,India,,
6,Hyderabad International Airport,Shamshabad,,Hyderabad,Andhra Pradesh,500252,,India,,
7,Bangalore International Airport Ltd,"Administration Block, Bengaluru International Airport, Devanahalli",,Bangalore,Karnataka,560300,,India,,
8,The Golden Palms Hotel And Spa,"No.31/32, Opp Himalaya Drug Company, Nagarur Village, Off Tumkur RD, Tumkur Road Nelamangala, Bangalore ",,Bangalore,Karnataka,562123,,India,,
9,Davanam Sarovar Portico Suites,"Total Mall,Bdg, Opposite Madiwala Police Station, Hosur MN RD, Koramangala 2 Block, Bangalore",,Bangalore,Karnataka,560034,,India,,
10,Lamarvella Hotel,"No 1, NR Bangalore Hospital, 14th CRS, South End CLE, Jayanagar, Bangalore",,Bangalore,Karnataka,560011,,India,,
11,Svenska Design Hotel,"No 56/D,Survey No 66, Opp Wipro Gate Number 5, Electronic City, Bangalore",,Bangalore,Karnataka,560011,,India,,
12,Vivanta By Taj Hotel,"No 41/3, Trinity Circle, M G Road, BANGALORE",,Bangalore,Karnataka,560001,,India,,
13,The Leela Palace,"No.23, To Manipal Hospital, Old Airport Road, Kodihalli, Bangalore",,Bangalore,Karnataka,560017,,India,,
14,ITC Royal Gardenia Hotel,"No 1, Next To Mallya Hospital, Residency Road, Bangalore",,Bangalore,Karnataka,560025,,India,,
15,Lalit Ashok Hotel,"No.5095, Golf Course Road, High Grounds, Kumara Krupa Road, Bangalore - 560001",,Bangalore,Karnataka,560001,,India,,
16,Sheraton Bangalore Hotel,"No.26/1, Brigade Gateway, DR Rajkumar Road, Rajajinagar, Malleswaram West, Bangalore",,Bangalore,Karnataka,560055,,India,,
17,Taj Westend Hotel,"No 25, Opposite To Turf Club, Race Course Road, Bangalore - 560001",,Bangalore,Karnataka,560001,,India,,
18,Itc Windsor Hotel,"No 25 Windsor Square, Golf Course Road, Sankey Road, Bangalore",,Bangalore,Karnataka,560020,,India,,
19,Royal Orchid Hotel,"No.1, Golf Avenue, Adjacent To Kga Golf Course, Old Airport Road, Bangalore",,Bangalore,Karnataka,560017,,India,,
20,Chancery Pavilion Hotel,"No.135, Opposite To Bangalore Club, Residency Road, Bangalore - 560025",,Bangalore,Karnataka,560025,,India,,
21,Vivanta By Taj Hotel,"No 2275, Tumkur Road, Yeshwanthpur, Bangalore -",,Bangalore,Karnataka,560015,,India,,
22,Le Meridien Hotel,"No 28, Post Box No 174, Sankey Road, BANGALORE ",,Bangalore,Karnataka,560020,,India,,
23,Oberoi Hotel,"No.37-39, Opposite Kids Kemp, M G Road, Bangalore - 560001",,Bangalore,Karnataka,560001,,India,,
24,The Park Hotel,"No 14/7, Next To Taj Residency, M G Road, Bangalore - 560001",,Bangalore,Karnataka,560001,,India,,
25,The Zuri Hotel,"No.244, Rajapalya, Hoodi, Itpl Road Whitefield, Mahadevapura, Bangalore",,Bangalore,Karnataka,560048,,India,,
26,The Gateway Hotel,"No 66, Opposite To Galaxy Theatre, Residency Road, Bangalore",,Bangalore,Karnataka,560025,,India,,
27,Grand Hyatt Hotel,"Off Western Highway, Santacruz East, Mumbai",,Mumbai,Mumbai,400055,,India,,
28,J W Marriott Hotel,"P O Box No 8283, Juhu Beach, Juhu Tara Road, Juhu, Mumbai - 400049",,Mumbai,Mumbai,400049,,India,,
29,Taj Mahal Hotel,"The Taj Mahal Palace & Tower, Opposite Gateway Of India, apollo bunder, Mumbai",,Mumbai,Mumbai,400039,,India,,
,Oberoi,"Nariman Point, Mumbai 400021",,Mumbai,Mumbai,400021,,India,,
30,The Leela,"Sahar International Airport, Andheri East, Mumbai - 400059",,Mumbai,Mumbai,400059,,India,,
31,Itc Grand Central Hotel,"287, KEM Hospital, DR Babasaheb Ambedkar Road, Parel, Mumbai - 400012",,Mumbai,Mumbai,400012,,India,,
32,Intercontinental Hotel,"135, Netaji Subhash Road, Marine Drive, Mumbai - 400020",,Mumbai,Mumbai,400020,,India,,
33,Hyatt Regency Hotel,"Next To ITC, Sahar Airport Road, Andheri East, Mumbai - 400099",,Mumbai,Mumbai,400099,,India,,
34,Regenza By Tunga,"Plot No 37, Centre One Mall, Opp Vashi Station, Sector 30/A, Vashi, Navi Mumbai",,Mumbai,Mumbai,400705,,India,,
35,Orchid An Ecotel Hotel,"70 C, Adjacent To Domestic Airport, Nehru Road, Vile Parle East, Mumbai - 400099",,Mumbai,Mumbai,400099,,India,,
36,Inder Residency,"Opposite Gujarat College, Ellis Bridge, Ahmedabad - 380006",,Ahmedabad,Ahmedabad,380006,,India,,
37,Courtyard Marriott Hotel,"NR S G Highway, Ramdevnagar Cross Road, Satellite Road, Ahmedabad - 380015",,Ahmedabad,Ahmedabad,380015,,India,,
38,The Pride Hotel,"Opp NRI Tower, Judges Bungalow Road, S G Road, Bodakdev, Ahmedabad",,Ahmedabad,Ahmedabad,380054,,India,,
39,St Laurn Tow,"15, Opposite Azad Sweets, Ashram Road, Ahmedabad -",,Ahmedabad,Ahmedabad,380009,,India,,
40,The Fern An Ecotel Hotel,"Sola Overbridge, Sarkhej Gandhinagar Highway, Ahmedabad - ",,Ahmedabad,Ahmedabad,380055,,India,,
41,Ananta Spa & Resort Pushkar!,"408, Sunrise Mall, Swaminarayan Mandir, Satellite, Satellite Road, Ahmedabad -",,Ahmedabad,Ahmedabad,380015,,India,,
42,Le Meridien Hotel,"Nehru Bridge, Bombay Mercantile Bank, Khanpur, DELHI - ",,Ahmedabad,Ahmedabad,380001,,India,,
43,The Gateway Hotel Ummed,"Airport Cross Road, Next To Army Cantonment, International Airport Circle, Hansol, Ahmedabad - 380012",,Ahmedabad,Ahmedabad,380012,,India,,
44,orange ridge suites,"Plot No 22 Z, Okhla Industrial Area Phase I, Delhi - 110020",,Delhi,Delhi,110025,,India,,
45,The Amber Hotels,"198, Escort Hospital, Sukhdev Vihar, Delhi - 110025",,Delhi,Delhi,122002,,India,,
46,Hyatt Regency Hotel,"Ring RD, Bhikaji Cama Place, Delhi - 110066",,Delhi,Delhi,110066,,India,,
47,ITC Maurya Hotel,"Diplomatic Enclave, Next To Taj Palace, Sardar Patel Marg, Chanakya Puri, Delhi - 110021",,Delhi,Delhi,110021,,India,,
48,LE Meridien Hotel,"8, Windsor Place, Janpath, DELHI - 110001", ,Delhi,Delhi,110001,,India,,
49,Taj Mahal Hotel,"1, Khan Market, Mansingh Road, Defence HQ, DELHI - 110011", ,Delhi,Delhi,110011,,India,,
50,Lalit Hotel,"Barakhamba Avenue, CP, Delhi - 110001", ,Delhi,Delhi,110001,,India,,
51,Leela Palace Hotel,"Diplomatic Encl, Africa Avenue RD, Chanakya Puri, Delhi - 110021", ,Delhi,Delhi,110021,,India,,
52,Taj Palace Hotel,"2, Sardar Patel Marg, Diplomatic Enclave, DELHI - 110021", ,Delhi,Delhi,110021,,India,,
53,Shangrila Hotel,"19, Opp LE Meridien Hotel, Ashoka RD, CP, Delhi - 110001", ,Delhi,Delhi,110001,,India,,
54,Claridges Hotel,"12, NR Khan Mkt, Aurangzeb RD, Defence HQ, Delhi - 110011", ,Delhi,Delhi,110011,,India,,
55,Oberoi Hotel,"DR Zakir Hussain MG, Lodhi Road, Delhi - 110003", ,Delhi,Delhi,110003,,India,,
56,Ashok Hotel,"50-B, Diplomatic Enclave, Chanakya Puri, Delhi - 110021",,Delhi,Delhi,110021,,India,,
57,The Park Hotel,"15, Parliament Street, Parliament Street, DELHI - 110001",,Delhi,Delhi,110001,,India,,
58,Crowne Plaza,"Plot No- 3B, Twin Distt Centre, Rithala Metro Station, Rohini Sector-10, Delhi - 110085",,Delhi,Delhi,110085,,India,,
59,Novotel Hyderabad Airport,"Airport, Shamshabad, Hyderabad - 500252",,Hyderabad ,Hyderabad ,500252,,India,,
60,Golkonda Hotel,"Opp Jntu Polytechinc College, Beside Mahaveer Hospital, Masab Tank, Hyderabad - 500028",,Hyderabad ,Hyderabad ,500028,,India,,
61,The Park Hotel,"Plot No 22, Raj Bhavan Road, Somajiguda, Hyderabad - 500082",,Hyderabad ,Hyderabad ,500082,,India,,
62,Taj Krishna Hotel,"Road No 1, Banjara Hills, HYDERABAD - 500034",,Hyderabad ,Hyderabad ,500034,,India,,
63,Hyderabad Marriot Hotel,"1-3-1036/1, Opposite Hussain Sagar Lake, Tank Bund Road, Gandhi Nagar, Hyderabad - 500020",,Hyderabad ,Hyderabad ,500020,,India,,
64,The Westin Hotels & Resorts,"Mindspace, Raheja IT Park, Hitech City, Madhapur, Hyderabad - 500033",,Hyderabad ,Hyderabad ,500033,,India,,
65,Radisson Blu Plaza Hotel,"Plot No 8-2-409, Road No: 6, Banjara Hills, HYDERABAD - 500034",,Hyderabad ,Hyderabad ,500034,,India,,
66,Taj Deccan Hotel,"Road No 1 Banjara Hills, Banjara Hills, Hyderabad - 500034",,Hyderabad ,Hyderabad ,500034,,India,,
67,ITC Kakatiya Hotel,"Door No 6-3-1187, Opposite Cm House, Begumpet, Hyderabad - 500016",,Hyderabad ,Hyderabad ,500016,,India,,
68,Taj Falaknuma Palace,"Engine Bowli, Falaknuma, Hyderabad - 500012",,Hyderabad ,Hyderabad ,500012,,India,,
69,Ellaa Hotel,"Hill Ridge Spring, ISB Road, Gachibowli, HYDERABAD - 500031",,Hyderabad ,Hyderabad ,500031,,India,,
70,Aditya Sarovar Premiere,"Hitech City, Botanical Garden, Gachibowli, Hyderabad - 500031",,Hyderabad ,Hyderabad ,500031,,India,,
71,Mari Gold Hotel,"Beside Green Park Hotel, Green Lands, HYDERABAD - 500016",,Hyderabad ,Hyderabad ,500016,,India,,
72,Stamlo Hotel Pvt Ltd,"Plot No 15, 24, 25 & 26, SY No 64, Sector 1, Huda Techno Enclave, Madhapur, Hyderabad - 500033",,Hyderabad ,Hyderabad ,500033,,India,,
73,Regenta One Hotel,"115/1, Beside Financial District, Gachibowli, ISB Road, Nanakramguda, HYDERABAD - 500008",,Hyderabad ,Hyderabad ,500008,,India,,
74,Hyatt Regency,"No 365, Beside Kalaignar TV Office, Anna Salai, Teynampet, Chennai - 600018",,Chennai ,Chennai ,600018,,India,,
75,Taj Coromandel Hotel,"No 37, Opposite To Income TAX Office, Mahatma Gandhi Road, Nungambakkam, Chennai - 600034",,Chennai ,Chennai ,600034,,India,,
76,Hilton Chennai Hotel,"No 124/1, Ekkaduthangal Olympia Tech Park, Jawaharlal Nehru Salai, Guindy, Chennai - 600032 ",,Chennai ,Chennai ,600032,,India,,
77,Taj Club House Hotel,"No 2, Opposite To Spencer Plaza Signal & L & T Old Office, Club House Road, Mount Road, Chennai - 600002",,Chennai ,Chennai ,600002,,India,,
78,ITC Grand Chola Hotel,"New No 63 Old No 37, Alexander Square, Anna Salai, Guindy, Chennai - 600032",,Chennai ,Chennai ,600032,,India,,
79,Hyatt Regency Hotel,"Ja 1,Sec 3, Apollo Gleneagles Hospital, Salt Lake City, sai sports complex, Kolkata - 700098",,Calcutta,Calcutta,700098,,India,,
80,Taj Bengal Hotel,"34 B, National Library, Belvedere Road, Alipore, Kolkata - 700027",,Calcutta,Calcutta,700027,,India,,
81,ITC Sonar A Luxury Collection Hotel,"Opposite Science City, J B S Halden Avenue, Govinda Khatick Road, Kolkata - 700046",,Calcutta,Calcutta,700046,,India,,
82,Oberoi Grand Hotel,"15, Esplanade Metro Road, Jawaharlal Nehru Road, Dharmatala, Kolkata - 700013",,Calcutta,Calcutta,700013,,India,,
